"Time","10.42.2.7:9400-full0"
2025-05-20 11:35:45,0%
2025-05-20 11:36:00,0%
2025-05-20 11:36:15,0%
2025-05-20 11:36:30,0%
2025-05-20 11:36:45,0%
2025-05-20 11:37:00,0%
2025-05-20 11:37:15,0%
2025-05-20 11:37:30,0%
2025-05-20 11:37:45,0%
2025-05-20 11:38:00,0%
2025-05-20 11:38:15,0%
2025-05-20 11:38:30,0%
2025-05-20 11:38:45,0%
2025-05-20 11:39:00,0%
2025-05-20 11:39:15,0%
2025-05-20 11:39:30,0%
2025-05-20 11:39:45,0%
2025-05-20 11:40:00,0%
